Gene	Chrom	Start	End	Coding
PF3D7_0111500	chr1	439395	442195	Coding
PF3D7_0111600	chr1	442380	443473	Coding
PF3D7_0111700	chr1	443476	444682	Coding
PF3D7_0111800	chr1	444710	449954	Coding
PF3D7_0111900	chr1	449966	450646	Coding
TatD	chr1	450831	453195	Coding
PIMMS1	chr1	454847	455338	Coding
MRP1	chr1	463764	471891	Coding
PF3D7_0112800	chr1	481231	483218	Coding
PF3D7_0112900	chr1	483603	487841	Coding
GARP	chr1	487239	490901	Coding
SURF1.1	chr1	494941	500347	Coding
PF3D7_0113200	chr1	500888	503795	Coding
PF3D7_0113300	chr1	504339	507459	Coding
PF3D7_0113400	chr1	507977	510158	Coding
HSP40	chr1	519766	523106	Coding
PF3D7_0113800	chr1	526530	536562	Coding
CBP1	chr1	536783	538156	Coding
EPF1	chr1	541805	547544	Coding
MC-2TM	chr1	547245	548669	Coding
EPF3	chr1	550576	551713	Coding
PF3D7_0114500	chr1	557700	558946	Coding
RIF	chr1	563703	564842	Coding
PF3D7_0114750	chr1	566515	566691	Coding
PF3D7_0114800	chr1	569485	570272	Coding
SURF1.3	chr1	577704	583789	Coding
PF3D7_0115100	chr1	587391	588394	Coding
RIF	chr1	591849	593187	Coding
RIF	chr1	595102	596273	Coding
PF3D7_0115400	chr1	598465	599472	Coding
RIF	chr1	604162	605531	Coding
VAR	chr1	607390	614893	Coding
VAR	chr2	25232	31168	Coding
RIF	chr2	33030	34259	Coding
PF3D7_0200300	chr2	35927	37249	Coding
PF3D7_0200400	chr2	38287	39303	Coding
RIF	chr2	41515	42858	Coding
RIF	chr2	45286	46558	Coding
RIF	chr2	48923	50147	Coding
RIF	chr2	57344	58421	Coding
PF3D7_0201100	chr2	60107	60319	Coding
RIF	chr2	63157	64376	Coding
PF3D7_0201300	chr2	66529	67545	Coding
PF3D7_0201400	chr2	69088	69771	Coding
PF3D7_0201500	chr2	72155	76714	Coding
RLP1	chr2	76725	79448	Coding
PF3D7_0201700	chr2	80851	84937	Coding
KAHsp40	chr2	86183	89482	Coding
EMP3	chr2	90205	100157	Coding
KAHRP	chr2	102137	106662	Coding
LSAP2	chr2	108217	111658	Coding
PTP1	chr2	111818	115064	Coding
PF3D7_0202300	chr2	117033	118455	Coding
PTEF	chr2	118835	125090	Coding
ETRAMP2	chr2	127203	129089	Coding
PF3D7_0202600	chr2	129336	134329	Coding
OPP	chr2	134779	137615	Coding
PF3D7_0202800	chr2	137155	141252	Coding
DHHC12	chr2	138621	141266	Coding
ROPE	chr2	141269	148515	Coding
PF3D7_0203100	chr2	148914	157296	Coding
PF3D7_0203200	chr2	157937	159891	Coding
ERCC1	chr2	160393	161450	Coding
PF3D7_0203400	chr2	161491	163864	Coding
PF3D7_0203600	chr2	165912	168559	Coding
MAK16	chr2	168580	170767	Coding
PF3D7_0203800	chr2	171277	175196	Coding
PF3D7_0203900	chr2	176370	178737	Coding
CAPH2	chr2	178955	181941	Coding
PF3D7_0204100	chr2	181749	189877	Coding
SEC66	chr2	192755	194248	Coding
PF3D7_0204300	chr2	194272	197151	Coding
PF3D7_0204400	chr2	197153	198043	Coding
AspAT	chr2	198353	199613	Coding
PF3D7_0204600	chr2	199889	204454	Coding
HT1	chr2	204784	207425	Coding
PF3D7_0204800	chr2	209149	211029	Coding
COQ5	chr2	211067	212635	Coding
PF3D7_0205000	chr2	212672	214714	Coding
PF3D7_0205100	chr2	214838	217843	Coding
PF3D7_0205200	chr2	217882	218907	Coding
PF3D7_0205300	chr2	219690	222256	Coding
PF3D7_0205400	chr2	222830	225455	Coding
PF3D7_0205500	chr2	225212	226438	Coding
PF3D7_0205600	chr2	227756	230583	Coding
PF3D7_0205700	chr2	230768	232631	Coding
PH1	chr2	232642	233918	Coding
RPN1	chr2	234461	239124	Coding
RAD2	chr2	239146	244604	Coding
SufE	chr2	244645	248513	Coding
PAT	chr2	248880	251521	Coding
PF3D7_0206500	chr2	262727	268003	Coding
PF3D7_0206600	chr2	268187	270646	Coding
ADSL	chr2	271374	274711	Coding
MSP2	chr2	271576	274917	Coding
MSP5	chr2	274946	276712	Coding
MSP4	chr2	276725	279258	Coding
PF3D7_0207100	chr2	281275	287696	Coding
ISCA1	chr2	287423	288941	Coding
SERA8	chr2	290168	292703	Coding
SERA7	chr2	293896	297980	Coding
SERA6	chr2	298380	302820	Coding
SERA5	chr2	303409	307376	Coding
SERA4	chr2	308628	312348	Coding
SERA3	chr2	312990	316944	Coding
SERA2	chr2	317422	321552	Coding
SERA1	chr2	322329	326390	Coding
PF3D7_0208100	chr2	327442	335433	Coding
KRR1	chr2	335421	337000	Coding
PF3D7_0208300	chr2	337310	343223	Coding
PF3D7_0208400	chr2	342081	351139	Coding
ACP	chr2	351650	354043	Coding
RRF1	chr2	354341	356448	Coding
PF3D7_0208700	chr2	356196	358035	Coding
PF3D7_0208800	chr2	358084	360086	Coding
P230p	chr2	360828	368354	Coding
P230	chr2	369351	380156	Coding
PATPL1	chr2	380935	384245	Coding
MTR3	chr2	384529	386885	Coding
IspF	chr2	386930	388236	Coding
PF3D7_0209400	chr2	388216	391107	Coding
PF3D7_0209500	chr2	391238	392887	Coding
PF3D7_0209600	chr2	393969	399286	Coding
PF3D7_0209700	chr2	400078	402755	Coding
UAP56	chr2	403095	406706	Coding
Sec61-gamma	chr2	409983	411199	Coding
RPL37A	chr2	411419	412963	Coding
PF3D7_0210200	chr2	412948	421861	Coding
PF3D7_0210300	chr2	422574	425116	Coding
PF3D7_0210400	chr2	425599	427108	Coding
PF3D7_0210500	chr2	427161	431611	Coding
CERLI1	chr2	431716	434231	Coding
SYN17	chr2	435985	437173	Coding
PF3D7_0210800	chr2	437342	439708	Coding
PF3D7_0210900	chr2	441381	443570	Coding
PF3D7_0211100	chr2	451526	455367	Coding
RAB5a	chr2	455265	456900	Coding
PF3D7_0211300	chr2	456907	458616	Coding
KASIII	chr2	458932	461640	Coding
PF3D7_0211500	chr2	463147	467352	Coding
ALG14	chr2	467682	468518	Coding
TKL1	chr2	469408	474167	Coding
AsnRS	chr2	475109	477618	Coding
PF3D7_0211900	chr2	477189	479816	Coding
PF3D7_0212000	chr2	479683	481854	Coding
PF3D7_0212100	chr2	483322	489702	Coding
PF3D7_0212200	chr2	489203	491256	Coding
ERF1	chr2	491640	495105	Coding
PF3D7_0212400	chr2	494337	507898	Coding
PF3D7_0212500	chr2	508665	521769	Coding
SPATR	chr2	522339	524405	Coding
PF3D7_0212700	chr2	524470	526067	Coding
MATE	chr2	526387	531923	Coding
ATEL1	chr2	532001	534657	Coding
PF3D7_0213000	chr2	534659	536945	Coding
SIS1	chr2	537390	540199	Coding
PF3D7_0213200	chr2	539809	541065	Coding
PK7	chr2	540403	543807	Coding
PF3D7_0213300	chr2	541071	542094	Coding
PF3D7_0213500	chr2	543700	546217	Coding
PF3D7_0213600	chr2	546482	555294	Coding
PF3D7_0213700	chr2	556774	558250	Coding
PF3D7_0213800	chr2	558585	560594	Coding
PF3D7_0213900	chr2	560872	565395	Coding
CCT8	chr2	565669	568518	Coding
SEC31	chr2	568246	573893	Coding
mRPL13	chr2	574898	576521	Coding
PF3D7_0214300	chr2	577433	586702	Coding
PF3D7_0214400	chr2	586717	589640	Coding
PF3D7_0214500	chr2	590110	591752	Coding
STK2	chr2	593374	600035	Coding
PF3D7_0214700	chr2	599425	601740	Coding
PF3D7_0214800	chr2	603261	609873	Coding
RON6	chr2	609924	616306	Coding
ACS9	chr2	615813	621692	Coding
PF3D7_0215100	chr2	622029	624953	Coding
PF3D7_0215200	chr2	625082	627710	Coding
ACS8	chr2	628091	632681	Coding
PF3D7_0215400	chr2	634417	639395	Coding
PF3D7_0215500	chr2	639847	643411	Coding
PF3D7_0215600	chr2	642807	644902	Coding
RPB2	chr2	645368	650460	Coding
ORC5	chr2	650472	653693	Coding
DHHC11	chr2	654918	656840	Coding
PF3D7_0216000	chr2	657770	664734	Coding
PF3D7_0216100	chr2	664805	668532	Coding
PF3D7_0216200	chr2	668745	670058	Coding
PF3D7_0216300	chr2	670210	675095	Coding
VPS45	chr2	675368	678010	Coding
PF3D7_0216500	chr2	678050	685025	Coding
PF3D7_0216600	chr2	685475	689382	Coding
ATG11	chr2	689543	695989	Coding
PF3D7_0216800	chr2	695848	699564	Coding
PF3D7_0216900	chr2	701245	702894	Coding
PF3D7_0217000	chr2	703060	706862	Coding
PF3D7_0217100	chr2	707101	709839	Coding
PF3D7_0217200	chr2	709474	715607	Coding
AP2S	chr2	715609	716549	Coding
PF3D7_0217400	chr2	717227	719177	Coding
CDPK1	chr2	719266	723617	Coding
PF3D7_0217600	chr2	723183	730639	Coding
PF3D7_0217700	chr2	731101	733231	Coding
RPS26	chr2	733477	734855	Coding
PF3D7_0217900	chr2	734887	738046	Coding
RFC2	chr2	738216	740285	Coding
PF3D7_0218100	chr2	740884	742775	Coding
PF3D7_0218200	chr2	742842	746913	Coding
PF3D7_0218300	chr2	747303	749586	Coding
DDX47	chr2	749749	751772	Coding
SNRPD2	chr2	752461	754956	Coding
PF3D7_0218600	chr2	755057	763428	Coding
PRP45	chr2	762841	765517	Coding
PF3D7_0219100	chr2	769194	771126	Coding
RPS30	chr2	771928	773349	Coding
PF3D7_0219300	chr2	773171	774191	Coding
PF3D7_0219400	chr2	774447	776838	Coding
PF3D7_0219500	chr2	776418	778478	Coding
RFC1	chr2	778816	782444	Coding
GEXP20	chr2	783271	784917	Coding
PF3D7_0219800	chr2	786298	790454	Coding
PF3D7_0219900	chr2	790390	792432	Coding
LSA3	chr2	794978	801981	Coding
PF3D7_0220100	chr2	803384	807811	Coding
PF3D7_0220200	chr2	809073	812695	Coding
PF3D7_0220300	chr2	812892	815853	Coding
PF3D7_0220500	chr2	823293	825588	Coding
PF3D7_0220600	chr2	830123	833035	Coding
PF3D7_0220700	chr2	833056	834963	Coding
CLAG2	chr2	838594	844668	Coding
PF3D7_0221000	chr2	848092	849119	Coding
PF3D7_0221200	chr2	853607	856315	Coding
PF3D7_0221400	chr2	860466	861504	Coding
PF3D7_0221700	chr2	868884	871778	Coding
PF3D7_0221800	chr2	871835	873795	Coding
EPF1	chr2	876984	877832	Coding
MC-2TM	chr2	878211	879540	Coding
EPF3	chr2	881469	882267	Coding
RIF	chr2	889660	890745	Coding
RIF	chr2	892856	894206	Coding
RIF	chr2	896226	897420	Coding
PF3D7_0222800	chr2	899430	900445	Coding
RIF	chr2	904551	905775	Coding
RIF	chr2	907678	908861	Coding
PF3D7_0223300	chr2	909350	911054	Coding
RIF	chr2	913244	914457	Coding
VAR	chr2	916352	923648	Coding
VAR	chr3	36965	44482	Coding
RIF	chr3	46369	47579	Coding
PF3D7_0300400	chr3	52280	53273	Coding
RIF	chr3	55390	56584	Coding
PF3D7_0300600	chr3	58307	58519	Coding
RIF	chr3	61445	62714	Coding
RIF	chr3	64572	65783	Coding
PF3D7_0300900	chr3	67870	68761	Coding
ACS2	chr3	69460	71919	Coding
PF3D7_0301100	chr3	76494	77474	Coding
FIKK3	chr3	78154	81283	Coding
EH1	chr3	81939	84290	Coding
PF3D7_0301400	chr3	85289	86678	Coding
PF3D7_0301500	chr3	87480	90921	Coding
GEXP21	chr3	91001	94089	Coding
PF3D7_0301700	chr3	95216	99115	Coding
PF3D7_0301800	chr3	103118	105748	Coding
PF3D7_0301900	chr3	105433	107500	Coding
PRP46	chr3	107622	110309	Coding
SRPK1	chr3	112158	118863	Coding
CLAG3.2	chr3	119098	124924	Coding
CLAG3.1	chr3	134486	141185	Coding
ABCB4	chr3	141335	146155	Coding
PF3D7_0302700	chr3	146052	147270	Coding
PF3D7_0302800	chr3	147724	150348	Coding
PF3D7_0302900	chr3	151935	158150	Coding
NSF	chr3	159315	161740	Coding
PF3D7_0303100	chr3	161748	168348	Coding
PF3D7_0303200	chr3	168679	174837	Coding
RPB6	chr3	174382	176798	Coding
DHHC1	chr3	177446	181753	Coding
PF3D7_0303500	chr3	182267	189424	Coding
Plrx	chr3	189682	190816	Coding
BCKDH-E2	chr3	191168	193072	Coding
PF3D7_0303800	chr3	193499	196492	Coding
PF3D7_0303900	chr3	196570	197601	Coding
IMC1a	chr3	198542	201584	Coding
IMC1e	chr3	203251	206328	Coding
EHD	chr3	206611	208959	Coding
PF3D7_0304300	chr3	211970	217021	Coding
RPL44	chr3	217059	218992	Coding
GLP1	chr3	218780	220345	Coding
CSP	chr3	221112	223145	Coding
PF3D7_0304700	chr3	224160	225793	Coding
PF3D7_0304800	chr3	226915	231648	Coding
PF3D7_0304900	chr3	231447	232745	Coding
EF-Ts	chr3	233621	235461	Coding
PF3D7_0305100	chr3	236334	248270	Coding
PF3D7_0305200	chr3	250163	255153	Coding
PF3D7_0305300	chr3	255187	259495	Coding
PF3D7_0305400	chr3	259959	261372	Coding
PF3D7_0305500	chr3	261400	274210	Coding
APE1	chr3	274618	277999	Coding
PF3D7_0305700	chr3	278771	280588	Coding
PF3D7_0305800	chr3	281916	285260	Coding
PF3D7_0305900	chr3	285291	286154	Coding
QCR8	chr3	286241	287345	Coding
PF3D7_0306100	chr3	287946	291323	Coding
AHA1	chr3	291924	295013	Coding
GRX1	chr3	294566	297773	Coding
PF3D7_0306400	chr3	297490	300880	Coding
COX6C	chr3	300489	302223	Coding
ATPTG17	chr3	302501	303423	Coding
EMC5	chr3	303434	305619	Coding
CCT2	chr3	305320	308017	Coding
PF3D7_0306900	chr3	309572	312482	Coding
RPS12	chr3	312534	313923	Coding
PF3D7_0307200	chr3	314714	316835	Coding
EB1	chr3	318804	320336	Coding
ClpP	chr3	320628	322215	Coding
SKA2	chr3	322589	325397	Coding
PF3D7_0307600	chr3	325654	328649	Coding
PF3D7_0307700	chr3	328477	336120	Coding
PF3D7_0307800	chr3	336191	339907	Coding
PF3D7_0307900	chr3	339591	352137	Coding
PF3D7_0308000	chr3	353058	355573	Coding
PF3D7_0308100	chr3	355867	361936	Coding
CCT7	chr3	361623	365130	Coding
PIC4	chr3	365177	366948	Coding
PF3D7_0308500	chr3	369925	371806	Coding
PRPF19	chr3	371933	374911	Coding
PF3D7_0308700	chr3	375388	377772	Coding
PF3D7_0308800	chr3	377774	378857	Coding
SF3B1	chr3	378896	383721	Coding
YVH1	chr3	383878	387313	Coding
OMD	chr3	386977	388538	Coding
ARK2	chr3	388943	396419	Coding
PF3D7_0309300	chr3	397397	401232	Coding
AS	chr3	401933	405904	Coding
PfP2	chr3	406534	408869	Coding
SBP2	chr3	409102	410928	Coding
YTH2	chr3	411588	414117	Coding
PF3D7_0309900	chr3	414206	419975	Coding
PF3D7_0310000	chr3	420417	421877	Coding
CDPK3	chr3	422379	424680	Coding
PF3D7_0310200	chr3	426151	441005	Coding
PF3D7_0310300	chr3	441760	447410	Coding
PIESP1	chr3	447468	451552	Coding
DHX57	chr3	451792	459726	Coding
EIF3K	chr3	460848	462532	Coding
TRAPPC4	chr3	462750	464274	Coding
PF3D7_0310800	chr3	464662	465196	Coding
PF3D7_0310900	chr3	465745	468557	Coding
PF3D7_0311000	chr3	469287	470118	Coding
PF3D7_0311100	chr3	470535	473737	Coding
PF3D7_0311200	chr3	473860	479395	Coding
PF3D7_0311300	chr3	479460	485830	Coding
PKRP	chr3	487853	496510	Coding
PF3D7_0311500	chr3	496787	498268	Coding
OST1	chr3	499117	502677	Coding
PM6	chr3	502698	505935	Coding
PF3D7_0311800	chr3	506275	509040	Coding
PF3D7_0311900	chr3	509155	512024	Coding
PF3D7_0312000	chr3	511923	513009	Coding
PF3D7_0312100	chr3	513105	516915	Coding
PF3D7_0312200	chr3	516480	520555	Coding
RPN12	chr3	521939	523113	Coding
GSK3	chr3	523023	528087	Coding
MFR3	chr3	528316	531025	Coding
PF3D7_0312800	chr3	533606	535480	Coding
PF3D7_0312900	chr3	535938	537274	Coding
PF3D7_0313000	chr3	537355	538827	Coding
HRD3	chr3	539192	543133	Coding
PF3D7_0313200	chr3	543010	543942	Coding
PF3D7_0313300	chr3	544055	545227	Coding
PF3D7_0313400	chr3	545589	548500	Coding
PfG	chr3	548576	551854	Coding
PF3D7_0313600	chr3	551348	554770	Coding
PF3D7_0313700	chr3	555035	558825	Coding
PF3D7_0313800	chr3	559025	563280	Coding
PF3D7_0313900	chr3	562366	565656	Coding
PF3D7_0314000	chr3	567002	569084	Coding
PF3D7_0314100	chr3	568936	571598	Coding
PF3D7_0314200	chr3	572134	576853	Coding
DER1-2	chr3	576881	578724	Coding
PPP6	chr3	578813	581393	Coding
PF3D7_0314500	chr3	582177	586023	Coding
PF3D7_0314600	chr3	586077	588321	Coding
RNF1	chr3	588362	594166	Coding
PF3D7_0314800	chr3	604442	608381	Coding
PF3D7_0314900	chr3	608592	610992	Coding
PF3D7_0315000	chr3	610994	612107	Coding
eIF4E	chr3	612333	614159	Coding
CTRP	chr3	616472	622816	Coding
PF3D7_0315300	chr3	623446	630360	Coding
PF3D7_0315400	chr3	630342	631821	Coding
PF3D7_0315500	chr3	632614	634164	Coding
PF3D7_0315600	chr3	635060	638072	Coding
PF3D7_0315700	chr3	638283	641306	Coding
PF3D7_0315800	chr3	641255	643023	Coding
PF3D7_0315900	chr3	644186	645268	Coding
MA	chr3	645489	647748	Coding
PF3D7_0316100	chr3	647361	649671	Coding
PF3D7_0316200	chr3	649743	657416	Coding
PPase	chr3	658272	661980	Coding
PF3D7_0316400	chr3	662081	665690	Coding
NUF2	chr3	665769	669165	Coding
FNT	chr3	668469	672475	Coding
YOP1	chr3	673290	676084	Coding
PF3D7_0316800	chr3	676699	679176	Coding
PF3D7_0316900	chr3	678813	681861	Coding
PF3D7_0317000	chr3	682236	684432	Coding
B9	chr3	686282	689482	Coding
CRK4	chr3	689618	696787	Coding
PF3D7_0317300	chr3	698789	710430	Coding
PF3D7_0317400	chr3	711998	714150	Coding
EG5	chr3	716493	722640	Coding
RPS11	chr3	724394	726450	Coding
PF3D7_0317700	chr3	727544	738158	Coding
PF3D7_0317800	chr3	737151	739019	Coding
PF3D7_0317900	chr3	739193	742054	Coding
PF3D7_0318000	chr3	742191	742799	Coding
STOML	chr3	743870	745191	Coding
RPB1	chr3	747275	756485	Coding
PF3D7_0318300	chr3	756194	760677	Coding
PF3D7_0318400	chr3	761693	765439	Coding
PF3D7_0318500	chr3	766814	782795	Coding
PF3D7_0318600	chr3	782940	787364	Coding
PF3D7_0318700	chr3	788145	789211	Coding
PF3D7_0318800	chr3	789497	791504	Coding
PF3D7_0318900	chr3	791312	794096	Coding
ATPase7	chr3	794521	801871	Coding
RBX1	chr3	801493	803378	Coding
CCR4-4	chr3	803517	806736	Coding
PF3D7_0319300	chr3	806843	808202	Coding
PF3D7_0319400	chr3	809093	814903	Coding
PF3D7_0319500	chr3	815119	817437	Coding
EF-1delta	chr3	817542	819496	Coding
ABCI3	chr3	820232	831283	Coding
PF3D7_0319800	chr3	831076	832509	Coding
PF3D7_0319900	chr3	833687	835444	Coding
I2	chr3	837189	838557	Coding
SEC22	chr3	839576	842017	Coding
PF3D7_0320200	chr3	842496	844477	Coding
CCT5	chr3	844881	848142	Coding
Cap380	chr3	848247	857504	Coding
Nico	chr3	860221	862776	Coding
PF3D7_0320600	chr3	862233	864181	Coding
SPC25	chr3	864860	866969	Coding
DOZI	chr3	869089	872456	Coding
H2A.Z	chr3	874313	876685	Coding
PF3D7_0321000	chr3	877409	879789	Coding
PF3D7_0321100	chr3	879438	885952	Coding
ALG7	chr3	886593	889386	Coding
PF3D7_0321300	chr3	889611	893080	Coding
pPK1	chr3	894149	896220	Coding
PF3D7_0321500	chr3	896241	900388	Coding
DDX42	chr3	900508	903759	Coding
PF3D7_0321700	chr3	903127	910678	Coding
PF3D7_0321800	chr3	912017	921435	Coding
CARL	chr3	921776	928618	Coding
CYP19A	chr3	928124	929640	Coding
Prt1	chr3	930302	933014	Coding
PF3D7_0322200	chr3	933188	937006	Coding
DGAT	chr3	937293	941851	Coding
PF3D7_0322400	chr3	942090	945625	Coding
IscA2	chr3	945333	946889	Coding
PF3D7_0322600	chr3	948374	952693	Coding
PF3D7_0322700	chr3	952746	963144	Coding
PF3D7_0322800	chr3	964101	965203	Coding
RPS3A	chr3	965293	967150	Coding
TMA7	chr3	968067	969942	Coding
PF3D7_0323100	chr3	969875	976203	Coding
PF3D7_0323200	chr3	976846	978520	Coding
PF3D7_0323300	chr3	978970	980271	Coding
RIPR	chr3	980289	984435	Coding
SMN	chr3	985953	988161	Coding
PF3D7_0323600	chr3	988165	991120	Coding
SART1	chr3	991037	994381	Coding
PF3D7_0323800	chr3	995923	1001997	Coding
EPF1	chr3	1005952	1006800	Coding
MC-2TM	chr3	1007145	1008491	Coding
EPF3	chr3	1010342	1011621	Coding
EPF4	chr3	1012355	1013464	Coding
RIF	chr3	1015795	1016942	Coding
RIF	chr3	1018874	1019973	Coding
PF3D7_0324600	chr3	1021998	1023008	Coding
RIF	chr3	1027571	1028929	Coding
VAR	chr3	1030822	1038254	Coding
VAR	chr4	28706	37677	Coding
RIF	chr4	42032	43374	Coding
VAR	chr4	45555	56860	Coding
RIF	chr4	59636	60939	Coding
RIF	chr4	63104	64476	Coding
PF3D7_0400800	chr4	66601	67573	Coding
RIF	chr4	69961	71113	Coding
RIF	chr4	73268	74340	Coding
PF3D7_0401100	chr4	76033	76245	Coding
RIF	chr4	79193	80451	Coding
RIF	chr4	82247	83575	Coding
RIF	chr4	85397	86608	Coding
RIF	chr4	92418	94121	Coding
PfD80	chr4	103078	106145	Coding
ACS6	chr4	108357	111662	Coding
PF3D7_0402000	chr4	113655	116953	Coding
PF3D7_0402100	chr4	123068	125848	Coding
RH1	chr4	137006	147177	Coding
GEXP18	chr4	146710	149188	Coding
PF3D7_0402600	chr4	159279	160314	Coding
PF3D7_0402900	chr4	172256	173440	Coding
PF3D7_0403100	chr4	175003	177360	Coding
PF3D7_0403200	chr4	177783	181051	Coding
PF3D7_0403300	chr4	180345	181808	Coding
PF3D7_0403400	chr4	181969	194734	Coding
PF3D7_0403500	chr4	195272	196988	Coding
PF3D7_0403600	chr4	197685	202175	Coding
CLF1	chr4	205531	209494	Coding
PF3D7_0403800	chr4	209977	216599	Coding
SET8	chr4	218611	222971	Coding
PF3D7_0404000	chr4	223010	224364	Coding
ApiAP2	chr4	224779	231733	Coding
PF3D7_0404200	chr4	232342	233735	Coding
PF3D7_0404300	chr4	233990	237708	Coding
P36	chr4	238360	239499	Coding
P52	chr4	240911	242347	Coding
PF3D7_0404600	chr4	244986	260286	Coding
DPAP3	chr4	259944	263782	Coding
PF3D7_0404800	chr4	264062	266503	Coding
P41	chr4	266566	268913	Coding
DDX51	chr4	268919	271537	Coding
SEC24B	chr4	271572	277979	Coding
MAg-1	chr4	277684	281983	Coding
LISP2	chr4	282403	288297	Coding
PRPF8	chr4	290361	301167	Coding
PF3D7_0405500	chr4	301259	302267	Coding
PF3D7_0405600	chr4	302892	305696	Coding
PF3D7_0405700	chr4	305485	313556	Coding
PF3D7_0405800	chr4	315105	315919	Coding
ASP	chr4	315974	319564	Coding
PF3D7_0406000	chr4	320299	322945	Coding
PF3D7_0406100	chr4	322950	325688	Coding
Pfs16	chr4	328473	330639	Coding
cGLO2	chr4	331524	334219	Coding
PF3D7_0406500	chr4	333546	345127	Coding
PF3D7_0406600	chr4	346308	346727	Coding
PF3D7_0406700	chr4	347345	352121	Coding
PF3D7_0406800	chr4	351527	353137	Coding
PF3D7_0406900	chr4	353655	359878	Coding
